cve_edo,nom_edo,acronimo_estado,cve_mpo_ine,nom_mpo_ine,cve_edo_mpo_ine,latitude,longitude,pob_tot,grado_prom_esco,metro,lista_nominal,total_votos,por_participacion,por_abstencion,participacion_h,participacion_m,participacion_j,v_pan,v_pri,v_prd,v_pvem,v_pt,v_mc,v_morena,v_pes,v_rsp,v_fxm,v_ci,v_vxm,v_jhh,v_otros,alianza_ganadora,votos_alianza_ganadora,margen_pp,triunfo_original
04,Campeche,Camp.,012,Dzitbalche,04012,NA,NA,16573,8.606666666666666,NA,11472,8336,72.66387726638771,27.336122733612285,NA,NA,NA,95,2419,87,64,502,1333,3407,42,128,86,0,2604,3973,256,Juntos Haremos Historia,3973,16.42274472168906,JHH
04,Campeche,Camp.,003,Carmen,04003,18.643333333333334,-91.83083333333332,248624,10.22875,NO,182975,99909,54.60254133078289,45.39745866921711,51.9111945384865,60.567356664521,56.2162313956754,5120,23571,995,1540,1400,13904,48508,696,868,478,0,29687,51448,2042,Juntos Haremos Historia,51448,21.780820546697495,JHH
04,Campeche,Camp.,010,Candelaria,04010,18.184444444444445,-91.0461111111111,46115,7.074857142857143,NO,33301,20252,60.81499054082459,39.18500945917541,49.3739724294929,54.8276543860805,52.0444057185271,5218,2760,160,153,186,1564,8960,229,218,104,0,8139,9299,551,Juntos Haremos Historia,9299,5.727829350187636,JHH
04,Campeche,Camp.,004,Champoton,04004,19.35555555555556,-90.72333333333331,77947,8.116249999999999,NO,55603,34235,61.570418862291604,38.4295811377084,59.4063091286951,67.2660859792076,63.3234790726622,1499,9246,372,234,813,5247,15080,294,359,111,0,11122,16127,764,Juntos Haremos Historia,16127,14.619541404994889,JHH
04,Campeche,Camp.,013,Seybaplaya,04013,NA,NA,15374,9.154444444444444,NA,11547,8665,75.04113622585953,24.958863774140468,NA,NA,NA,170,2832,70,156,113,1120,3836,51,71,19,0,3075,4105,141,Juntos Haremos Historia,4105,11.886901327178304,JHH
04,Campeche,Camp.,009,Escarcega,04009,18.60666666666667,-90.73444444444443,60808,8.134166666666667,NO,42567,25264,59.35114055488994,40.64885944511006,51.7764675724173,59.1179215166249,55.5260121406712,2413,5231,534,437,288,6078,8954,218,208,95,0,8178,9679,521,Juntos Haremos Historia,9679,5.941260291323623,JHH
04,Campeche,Camp.,011,Calakmul,04011,18.505555555555556,-89.39722222222223,31715,7.272777777777778,NO,19722,13753,69.73430686542947,30.26569313457053,61.6501789097032,67.9303062302006,64.7849462365591,133,3422,112,57,402,1291,7399,203,230,68,0,3668,7858,501,Juntos Haremos Historia,7858,30.466080127972077,JHH
04,Campeche,Camp.,005,Hecelchakan,04005,20.17666666666667,-90.13472222222222,32291,9.127222222222224,NO,23365,17444,74.6586775090948,25.3413224909052,68.0845174386418,74.6181172291297,71.4137025975201,652,4512,60,117,855,4061,6367,166,179,125,0,5226,7339,470,Juntos Haremos Historia,7339,12.113047466177482,JHH
04,Campeche,Camp.,006,Hopelchen,04006,19.74416666666667,-89.84444444444443,41724,7.3553125,NO,28711,21025,73.22977256103933,26.77022743896067,61.8199079821807,66.5363800360794,64.1441641663889,519,7315,239,107,477,4871,6793,110,174,40,0,8076,7377,324,Va por México,8076,3.32461355529132,V x M
04,Campeche,Camp.,007,Palizada,04007,18.255555555555556,-92.09166666666668,8905,7.617,NO,7380,5943,80.52845528455285,19.471544715447152,62.1460928652322,64.8868253047011,63.4995700773861,161,2172,65,11,386,710,2266,28,23,6,0,2401,2663,57,Juntos Haremos Historia,2663,4.408547871445398,JHH
