fecha_conferencia,titulo,es_estenografica,es_mananera,url,fecha_publicacion,archivo,descargado,caracteres
2026-06-19,Versión estenográfica. Conferencia de prensa de la presidenta Claudia Sheinbaum Pardo del 19 de junio de 2026,TRUE,TRUE,https://www.gob.mx/presidencia/es/articulos/version-estenografica-conferencia-de-prensa-de-la-presidenta-claudia-sheinbaum-pardo-del-19-de-junio-de-2026,2026-06-19T15:38:00Z,mananeras/txt/2026-06-19_version-estenografica-conferencia-de-prensa-de-la-presidenta-claudia-sheinbaum-pardo-del-19-de-junio-de-2026.txt,TRUE,79814
2026-06-18,Versión estenográfica. Conferencia de prensa de la presidenta Claudia Sheinbaum Pardo del 18 de junio de 2026,TRUE,TRUE,https://www.gob.mx/presidencia/es/articulos/version-estenografica-conferencia-de-prensa-de-la-presidenta-claudia-sheinbaum-pardo-del-18-de-junio-de-2026,2026-06-18T16:03:00Z,mananeras/txt/2026-06-18_version-estenografica-conferencia-de-prensa-de-la-presidenta-claudia-sheinbaum-pardo-del-18-de-junio-de-2026.txt,TRUE,86416
2026-06-18,"Versión estenográfica. Derecho de réplica, miércoles 17 de junio 2026. Palacio Nacional",TRUE,FALSE,https://www.gob.mx/presidencia/es/articulos/version-estenografica-derecho-de-replica-miercoles-17-de-junio-2026-palacio-nacional,2026-06-18T02:25:00Z,NA,FALSE,NA
2026-06-17,Versión estenográfica. Conferencia de prensa de la presidenta Claudia Sheinbaum Pardo del 17 de junio de 2026,TRUE,TRUE,https://www.gob.mx/presidencia/es/articulos/version-estenografica-conferencia-de-prensa-de-la-presidenta-claudia-sheinbaum-pardo-del-17-de-junio-de-2026,2026-06-17T14:19:00Z,mananeras/txt/2026-06-17_version-estenografica-conferencia-de-prensa-de-la-presidenta-claudia-sheinbaum-pardo-del-17-de-junio-de-2026.txt,TRUE,78857
2026-06-16,Versión estenográfica. Conferencia de prensa de la presidenta Claudia Sheinbaum Pardo del 16 de junio de 2026,TRUE,TRUE,https://www.gob.mx/presidencia/es/articulos/version-estenografica-conferencia-de-prensa-de-la-presidenta-claudia-sheinbaum-pardo-del-16-de-junio-de-2026,2026-06-16T15:55:00Z,mananeras/txt/2026-06-16_version-estenografica-conferencia-de-prensa-de-la-presidenta-claudia-sheinbaum-pardo-del-16-de-junio-de-2026.txt,TRUE,94165
2026-06-15,Versión estenográfica. Conferencia de prensa de la presidenta Claudia Sheinbaum Pardo del 15 de junio de 2026,TRUE,TRUE,https://www.gob.mx/presidencia/es/articulos/version-estenografica-conferencia-de-prensa-de-la-presidenta-claudia-sheinbaum-pardo-del-15-de-junio-de-2026,2026-06-15T15:30:00Z,mananeras/txt/2026-06-15_version-estenografica-conferencia-de-prensa-de-la-presidenta-claudia-sheinbaum-pardo-del-15-de-junio-de-2026.txt,TRUE,84313
2026-06-13,"Versión estenográfica. Inauguración: Central de Ciclo Combinado. Manzanillo, Colima",TRUE,FALSE,https://www.gob.mx/presidencia/es/articulos/version-estenografica-inauguracion-central-de-ciclo-combinado-manzanillo-colima,2026-06-13T19:14:00Z,NA,FALSE,NA
2026-06-13,"Versión estenográfica. Inicio de obra del Hospital de Especialidades IMSS. Manzanillo, Colima",TRUE,FALSE,https://www.gob.mx/presidencia/es/articulos/version-estenografica-inicio-de-obra-del-hospital-de-especialidades-imss-manzanillo-colima,2026-06-13T01:36:00Z,NA,FALSE,NA
2026-06-12,"Versión estenográfica. Beca Rita Cetina. Villa de Álvarez, Colima",TRUE,FALSE,https://www.gob.mx/presidencia/es/articulos/version-estenografica-beca-rita-cetina-villa-de-alvarez-colima,2026-06-12T22:29:00Z,NA,FALSE,NA
2026-06-12,Versión estenográfica. Conferencia de prensa de la presidenta Claudia Sheinbaum Pardo del 12 de junio de 2026,TRUE,TRUE,https://www.gob.mx/presidencia/es/articulos/version-estenografica-conferencia-de-prensa-de-la-presidenta-claudia-sheinbaum-pardo-del-12-de-junio-de-2026-428405,2026-06-12T15:24:00Z,mananeras/txt/2026-06-12_version-estenografica-conferencia-de-prensa-de-la-presidenta-claudia-sheinbaum-pardo-del-12-de-junio-de-2026-428405.txt,TRUE,59704
2026-06-11,Versión estenográfica. Conferencia de prensa de la presidenta Claudia Sheinbaum Pardo del 11 de junio de 2026,TRUE,TRUE,https://www.gob.mx/presidencia/es/articulos/version-estenografica-conferencia-de-prensa-de-la-presidenta-claudia-sheinbaum-pardo-del-11-de-junio-de-2026,2026-06-11T13:29:00Z,mananeras/txt/2026-06-11_version-estenografica-conferencia-de-prensa-de-la-presidenta-claudia-sheinbaum-pardo-del-11-de-junio-de-2026.txt,TRUE,87337
2026-06-11,"Versión estenográfica. Derecho de réplica, miércoles 10 de junio 2026",TRUE,FALSE,https://www.gob.mx/presidencia/es/articulos/version-estenografica-derecho-de-replica-miercoles-10-de-junio-2026,2026-06-11T01:45:00Z,NA,FALSE,NA
2026-06-10,Versión estenográfica. Conferencia de prensa de la presidenta Claudia Sheinbaum Pardo del 10 de junio de 2026,TRUE,TRUE,https://www.gob.mx/presidencia/es/articulos/version-estenografica-conferencia-de-prensa-de-la-presidenta-claudia-sheinbaum-pardo-del-10-de-junio-de-2026,2026-06-10T15:18:00Z,mananeras/txt/2026-06-10_version-estenografica-conferencia-de-prensa-de-la-presidenta-claudia-sheinbaum-pardo-del-10-de-junio-de-2026.txt,TRUE,67413
2026-06-09,Versión estenográfica. Conferencia de prensa de la presidenta Claudia Sheinbaum Pardo del 09 de junio de 2026,TRUE,TRUE,https://www.gob.mx/presidencia/es/articulos/version-estenografica-conferencia-de-prensa-de-la-presidenta-claudia-sheinbaum-pardo-del-09-de-junio-de-2026,2026-06-09T15:37:00Z,mananeras/txt/2026-06-09_version-estenografica-conferencia-de-prensa-de-la-presidenta-claudia-sheinbaum-pardo-del-09-de-junio-de-2026.txt,TRUE,80791
2026-06-08,Versión estenográfica. Abanderamiento de la Selección Mexicana de Fútbol. Ciudad de México,TRUE,FALSE,https://www.gob.mx/presidencia/es/articulos/version-estenografica-abanderamiento-de-la-seleccion-mexicana-de-futbol-ciudad-de-mexico,2026-06-08T20:14:00Z,NA,FALSE,NA
2026-06-08,Versión estenográfica. Conferencia de prensa de la presidenta Claudia Sheinbaum Pardo del 08 de junio de 2026,TRUE,TRUE,https://www.gob.mx/presidencia/es/articulos/version-estenografica-conferencia-de-prensa-de-la-presidenta-claudia-sheinbaum-pardo-del-08-de-junio-de-2026,2026-06-08T15:57:00Z,mananeras/txt/2026-06-08_version-estenografica-conferencia-de-prensa-de-la-presidenta-claudia-sheinbaum-pardo-del-08-de-junio-de-2026.txt,TRUE,97981
2026-06-07,"Versión estenográfica. Presentación de Olinia. Zumpango, Estado de México",TRUE,FALSE,https://www.gob.mx/presidencia/es/articulos/version-estenografica-presentacion-de-olinia-zumpango-estado-de-mexico,2026-06-07T20:27:00Z,NA,FALSE,NA
2026-06-07,"Versión estenográfica. Nuevas obras contra inundaciones. Carrillo Puerto, Veracruz",TRUE,FALSE,https://www.gob.mx/presidencia/es/articulos/version-estenografica-nuevas-obras-contra-inundaciones-carrillo-puerto-veracruz,2026-06-07T01:29:00Z,NA,FALSE,NA
2026-06-06,"Versión estenográfica. Jóvenes Construyendo el Futuro. Xalapa, Veracruz",TRUE,FALSE,https://www.gob.mx/presidencia/es/articulos/version-estenografica-jovenes-construyendo-el-futuro-xalapa-veracruz,2026-06-06T21:30:00Z,NA,FALSE,NA
2026-06-05,"Versión estenográfica. Beca Rita Cetina. Minatitlán, Veracruz",TRUE,FALSE,https://www.gob.mx/presidencia/es/articulos/version-estenografica-beca-rita-cetina-minatitlan-veracruz,2026-06-05T21:50:00Z,NA,FALSE,NA
2026-06-05,Versión estenográfica. Conferencia de prensa de la presidenta Claudia Sheinbaum Pardo del 05 de junio de 2026,TRUE,TRUE,https://www.gob.mx/presidencia/es/articulos/version-estenografica-conferencia-de-prensa-de-la-presidenta-claudia-sheinbaum-pardo-del-05-de-junio-de-2026,2026-06-05T15:34:00Z,mananeras/txt/2026-06-05_version-estenografica-conferencia-de-prensa-de-la-presidenta-claudia-sheinbaum-pardo-del-05-de-junio-de-2026.txt,TRUE,87745
2026-06-04,Versión estenográfica. Conferencia de prensa de la presidenta Claudia Sheinbaum Pardo del 04 de junio de 2026,TRUE,TRUE,https://www.gob.mx/presidencia/es/articulos/version-estenografica-conferencia-de-prensa-de-la-presidenta-claudia-sheinbaum-pardo-del-04-de-junio-de-2026,2026-06-04T16:57:00Z,mananeras/txt/2026-06-04_version-estenografica-conferencia-de-prensa-de-la-presidenta-claudia-sheinbaum-pardo-del-04-de-junio-de-2026.txt,TRUE,106175
2026-06-04,Versión estenográfica. Derecho de réplica. Miércoles 03 de junio,TRUE,FALSE,https://www.gob.mx/presidencia/es/articulos/version-estenografica-derecho-de-replica-palacio-nacional,2026-06-04T00:45:00Z,NA,FALSE,NA
2026-06-03,Versión estenográfica. Conferencia de prensa de la presidenta Claudia Sheinbaum Pardo del 03 de junio de 2026,TRUE,TRUE,https://www.gob.mx/presidencia/es/articulos/version-estenografica-conferencia-de-prensa-de-la-presidenta-claudia-sheinbaum-pardo-del-03-de-junio-de-2026,2026-06-03T15:53:00Z,mananeras/txt/2026-06-03_version-estenografica-conferencia-de-prensa-de-la-presidenta-claudia-sheinbaum-pardo-del-03-de-junio-de-2026.txt,TRUE,90908
2026-06-02,Versión estenográfica. Conferencia de prensa de la presidenta Claudia Sheinbaum Pardo del 02 de junio de 2026,TRUE,TRUE,https://www.gob.mx/presidencia/es/articulos/version-estenografica-conferencia-de-prensa-de-la-presidenta-claudia-sheinbaum-pardo-del-02-de-junio-de-2026,2026-06-02T15:32:00Z,mananeras/txt/2026-06-02_version-estenografica-conferencia-de-prensa-de-la-presidenta-claudia-sheinbaum-pardo-del-02-de-junio-de-2026.txt,TRUE,91652
2026-06-01,"Versión estenográfica. Día de la Marina Nacional. Lázaro Cárdenas, Michoacán",TRUE,FALSE,https://www.gob.mx/presidencia/es/articulos/dia-de-la-marina-nacional-lazaro-cardenas-michoacan,2026-06-01T20:35:00Z,NA,FALSE,NA
2026-06-01,Versión estenográfica. Conferencia de prensa de la presidenta Claudia Sheinbaum Pardo del 01 de junio de 2026,TRUE,TRUE,https://www.gob.mx/presidencia/es/articulos/version-estenografica-conferencia-de-prensa-de-la-presidenta-claudia-sheinbaum-pardo-del-01-de-junio-de-2026,2026-06-01T16:23:00Z,mananeras/txt/2026-06-01_version-estenografica-conferencia-de-prensa-de-la-presidenta-claudia-sheinbaum-pardo-del-01-de-junio-de-2026.txt,TRUE,101543
2026-05-31,"Versión estenográfica. A dos años del triunfo: honestidad, resultados, amor al pueblo y a la patria. Ciudad de México",TRUE,FALSE,https://www.gob.mx/presidencia/es/articulos/version-estenografica-a-dos-anos-del-triunfo-honestidad-resultados-amor-al-pueblo-y-a-la-patria-ciudad-de-mexico,2026-05-31T18:48:00Z,NA,FALSE,NA
