cvegeo,year,ingreso,ponderador
12001,2020,12212.49741134937,223924
12002,2020,7253.448154102533,5777
12003,2020,8843.741937733534,9265
12004,2020,6840.654239377133,4038
12005,2020,8914.921422373032,1923
12006,2020,9333.6394366524,2911
12007,2020,10207.9844786097,8950
12008,2020,8998.486982678567,2460
12009,2020,7468.129408273733,1274
12010,2020,6772.427849142333,6878
12011,2020,10552.6267421602,17766
12012,2020,9429.7935440942,15816
12013,2020,9415.792132143766,4306
12014,2020,10872.5700299715,5067
12015,2020,10544.72766517,4027
12016,2020,8979.675283710834,3482
12017,2020,11110.65623428277,4302
12018,2020,10621.47070416323,4168
12019,2020,7677.096406186701,3481
12020,2020,7031.0981124344,4590
12021,2020,9979.595671900066,21377
12022,2020,7616.628350295334,10730
12023,2020,10043.9951912674,7445
12024,2020,7688.417033297067,1971
12025,2020,8413.453398122234,4385
12026,2020,8471.118817679568,2419
12027,2020,9646.420398494634,6209
12028,2020,10872.7006844101,29650
12029,2020,13508.28502537107,72480
12030,2020,11129.2103878766,5742
12031,2020,8574.5034755749,1601
12032,2020,7680.818577699701,8464
12033,2020,8720.7095559917,4620
12034,2020,9700.9020119943,10531
12035,2020,12455.88092347563,42874
12036,2020,8724.526626977633,3021
12037,2020,9464.672260021933,1685
12038,2020,13635.6817715676,37359
12039,2020,10045.94313620827,7148
12040,2020,8426.208829528234,6421
12041,2020,7593.5692945509,6742
12042,2020,7484.093202298001,4868
12043,2020,6027.211266599633,3890
12044,2020,9476.138926857033,3263
12045,2020,8254.7066209228,6666
12046,2020,10719.71942030967,17229
12047,2020,8730.640521513167,1684
12048,2020,11068.12382368673,12972
12049,2020,9869.055258398,3583
12050,2020,11727.1985405132,10209
12051,2020,8940.230765025999,8969
12052,2020,8607.392622982401,10594
12053,2020,10808.7956466879,13959
12054,2020,8519.8899039548,5749
12055,2020,11782.45093771923,29987
12056,2020,7906.660919527333,11575
12057,2020,11170.51836732113,19717
12058,2020,11463.9543511319,13901
12059,2020,10596.65071151353,8803
12060,2020,8434.340382310334,3738
12061,2020,11452.4246029025,11055
12062,2020,8589.766691086434,4932
12063,2020,7763.528014857066,2537
12064,2020,9720.750968716433,3422
12065,2020,9166.211154258433,1890
12066,2020,10408.60076911657,21604
12067,2020,9489.833122283533,5860
12068,2020,11355.2838253651,7708
12069,2020,7358.460125200068,2524
12070,2020,9698.175348109367,2029
12071,2020,8245.0451862011,7710
12072,2020,7640.044394034667,3028
12073,2020,9096.0869799545,4972
12074,2020,8114.7618434887,5806
12075,2020,10423.89471736143,12500
12076,2020,5943.286763402534,8938
12077,2020,10169.82594889803,3920
12078,2020,6390.490890413867,4166
12079,2020,6204.761325865867,3958
12080,2020,8486.957328801,2139
12081,2020,7408.2189835885,2710
13001,2020,12547.84054091753,5869
13002,2020,8778.2150231381,10442
13003,2020,13684.61756374473,16266
13004,2020,9785.2377717865,2854
13005,2020,12491.63485947053,5174
13006,2020,10749.50414758337,5521
13007,2020,11244.3939895561,3560
13008,2020,13983.9446678534,12927
13009,2020,11610.93233794213,5258
13010,2020,15937.067027199,8714
13011,2020,9612.630533631966,5304
13012,2020,12869.9572087065,8380
13013,2020,12273.08852000983,17766
13014,2020,9574.726413841932,4736
13015,2020,9490.319193279533,5189
13016,2020,11438.9683277844,16085
13017,2020,10290.14083233963,3887
13018,2020,9471.424732232066,6256
13019,2020,10227.18893559233,5158
13020,2020,9855.852921496667,847
13021,2020,12712.33534130147,4158
13022,2020,12292.54295235973,4834
13023,2020,13142.89180260493,9700
13024,2020,11495.60715656063,4744
13025,2020,9261.194955192634,5541
13026,2020,6645.520202976534,3035
13027,2020,7244.337311251533,6266
13028,2020,9782.373450359633,31513
13029,2020,13639.99198680573,12880
13030,2020,12890.60901770813,26586
13031,2020,11547.9359780852,3744
13032,2020,9748.4374490479,2667
13033,2020,9452.399818823034,955
13034,2020,9566.017591538834,2603
13035,2020,10751.81198448627,3272
13036,2020,11342.79530842177,2834
13037,2020,10725.32373223287,6233
13038,2020,11010.2384304133,2533
13039,2020,13235.4389650747,3688
13040,2020,8960.836127221866,2929
13041,2020,14353.84034603803,12703
13042,2020,11601.3062830225,3336
13043,2020,8857.7345870987,1755
13044,2020,11676.36348086467,5145
13045,2020,11314.35175817223,2506
13046,2020,10002.02352114097,10227
13047,2020,9656.687181940433,1430
13048,2020,18733.76682393757,93242
13049,2020,7980.7806901128,4878
13050,2020,15056.1805491671,6308
13051,2020,16756.8518203927,63885
13052,2020,13062.9891658511,10401
13053,2020,8959.351793996566,5001
13054,2020,11354.73748199633,9807
13055,2020,11288.561815269,5050
13056,2020,10889.57469124973,11135
13057,2020,11789.62560968077,4096
13058,2020,11502.27305090847,5096
13059,2020,13242.15359701147,10216
13060,2020,9556.116293912866,4628
13061,2020,15167.15630097773,16487
13062,2020,7419.743967357767,7490
13063,2020,15429.62256640947,24686
13064,2020,11321.97135105117,3257
13065,2020,12283.33900544533,3088
13066,2020,13714.80894842553,3444
13067,2020,12195.1150296251,14843
13068,2020,8561.921886856,4026
13069,2020,14640.85425936247,47529
13070,2020,13440.6867352062,4917
13071,2020,8813.0227212994,2850
13072,2020,14860.85574833767,3187
13073,2020,8710.792660662333,9550
13074,2020,13689.89629242417,7034
13075,2020,12553.17884022547,6014
13076,2020,15742.41079215883,33318
13077,2020,14556.74739739817,45953
13078,2020,6948.008756024134,4361
13079,2020,11021.86569868613,2207
13080,2020,7318.6504736895,6277
13081,2020,9891.029228174733,10594
13082,2020,13173.3226923925,5849
13083,2020,13168.51604970537,17477
13084,2020,12005.9040896591,10983
14001,2020,15824.38940680693,6408
14002,2020,16511.83255042544,6372
14003,2020,17500.3237418295,6519
14004,2020,13745.69333846757,1588
14005,2020,16684.303473473,4213
14006,2020,17854.0843319231,17361
14007,2020,12493.1474314806,2665
14008,2020,16554.0716423259,22770
14009,2020,14550.2952927758,5681
14010,2020,11395.2688910364,1820
14011,2020,11586.1804219959,1530
14012,2020,14992.2246973885,1311
14013,2020,14283.382249448,17398
14014,2020,13961.64125716997,2535
14015,2020,15551.39694235977,18887
14016,2020,15544.85954014013,10738
14017,2020,12903.61499792273,3539
14018,2020,14840.6826400484,17717
14019,2020,8171.6374123203,1617
14020,2020,12274.0300101362,3182
14021,2020,15283.67533349893,6239
14022,2020,16002.56892197033,11530
14023,2020,18406.05916788047,31449
14024,2020,15201.89324091727,8131
14025,2020,15446.34363694793,5721
14026,2020,12570.81256563333,1847
14027,2020,10196.64257529637,4961
14028,2020,12935.7892219093,678
14029,2020,13144.5873288444,4923
14030,2020,19269.1973902467,16339
14031,2020,9931.449678796633,891
14032,2020,10958.67603658827,1468
14033,2020,14825.19213128193,5934
14034,2020,11887.14019819197,659
14035,2020,14899.55250265987,14385
14036,2020,14089.57454849413,5377
14037,2020,16502.75523782317,7458
14038,2020,14632.48082264177,1270
14039,2020,22769.25312505603,398543
14040,2020,11480.32847888103,2306
14041,2020,14629.11072117823,1779
14042,2020,12613.49896883753,2691
14043,2020,15199.76235074054,7002
14044,2020,15150.52277709453,19707
14045,2020,14682.08663218327,5758
14046,2020,15853.33216998917,8931
14047,2020,15023.25038931283,6227
14048,2020,17001.3285582615,5419
14049,2020,11214.17667957843,2551
14050,2020,16643.87760124077,11057
14051,2020,13700.99308751073,8701
14052,2020,12318.51900592503,1603
14053,2020,11524.43559330877,45022
14054,2020,13480.06819787307,1790
14055,2020,14796.345565808,5855
14056,2020,11610.93757316377,573
14057,2020,14083.17821973007,1248
14058,2020,16684.15789389987,4312
14059,2020,14346.5185883035,3676
14060,2020,12937.08874379934,1634
14061,2020,7977.453305836068,4715
14062,2020,14090.18930814337,1079
14063,2020,15224.20615440887,29112
14064,2020,12476.6092155541,8292
14065,2020,13477.25964842003,3560
14066,2020,13956.09696550237,12367
14067,2020,17308.8287585255,86523
14068,2020,12878.81417885927,3431
14069,2020,12272.56156176753,2402
14070,2020,17811.2507538019,59134
14071,2020,12092.4430520063,815
14072,2020,12678.7733243297,1980
14073,2020,16569.3663693094,18652
14074,2020,15014.57211066947,4784
14075,2020,13071.97526287343,1029
14076,2020,15267.39304138263,861
14077,2020,15686.09769788077,8122
14078,2020,17051.7620912511,8824
14079,2020,14468.27730124467,3937
14080,2020,13041.56039681343,1578
14081,2020,12175.5333303365,1081
14082,2020,15396.00770622283,9439
14083,2020,17187.44738858643,24941
14084,2020,14428.568958895,4393
14085,2020,16880.15420423223,11553
14086,2020,14427.09743532403,4831
14087,2020,13370.6898733146,4881
14088,2020,15556.66824162783,4998
14089,2020,10884.52067725437,1096
14090,2020,14783.86847872897,2259
14091,2020,14397.75744038887,11045
14092,2020,14417.837001975,3277
14093,2020,13680.12079419053,40868
14094,2020,15388.12500238417,11140
14095,2020,15169.68812207143,2711
14096,2020,13237.21259091683,6311
14097,2020,16617.1729781769,212301
14098,2020,18934.45913762987,185279
14099,2020,12600.6478473883,2618
14100,2020,13735.77478046393,10378
14101,2020,17372.05863997797,150488
14102,2020,15402.92048281453,1810
14103,2020,13883.12407355513,2154
14104,2020,13237.24887636557,1329
14105,2020,16648.80970871093,6478
14106,2020,14997.74703153203,1283
14107,2020,13214.36591613373,1755
14108,2020,15836.6754718313,9649
14109,2020,14415.4571490158,4941
14110,2020,15297.24533912243,4125
14111,2020,19374.79836994157,1858
14112,2020,14665.23295384013,1881
14113,2020,15352.3565045855,4207
