cvegeo,year,ingreso,ponderador
11040,2022,12486.50440925457,4904
11041,2022,11183.10050237983,17350
11042,2022,16694.17549645237,37795
11043,2022,16528.10578005496,5471
11044,2022,19633.03225708733,16398
11045,2022,11681.5206558011,3011
11046,2022,14922.5470010952,19175
12001,2022,14563.8030625673,223924
12002,2022,9623.808087359399,5777
12003,2022,10491.29259245563,9265
12004,2022,9094.4195455345,4038
12005,2022,11613.00245667573,1923
12006,2022,12109.03440388827,2911
12007,2022,13968.1542079048,8950
12008,2022,11072.18540366647,2460
12009,2022,11082.34672661073,1274
12010,2022,7176.627969305767,6878
12011,2022,5754.579273111033,17766
12012,2022,13273.0207294403,15816
12013,2022,11150.0042483299,4306
12014,2022,12113.13717286257,5067
12015,2022,13370.1095295321,4027
12016,2022,10188.9801779451,3482
12017,2022,15659.82936080233,4302
12018,2022,12086.2099526845,4168
12019,2022,9504.1207745095,3481
12020,2022,6930.557609123367,4590
12021,2022,12783.51647214623,21377
12022,2022,13050.3298487612,10730
12023,2022,12892.53154203423,7445
12024,2022,11186.5251697577,1971
12025,2022,11105.37159277127,4385
12026,2022,9747.602792549033,2419
12027,2022,11710.56790010573,6209
12028,2022,14412.15749079103,29650
12029,2022,19938.41638972703,72480
12030,2022,13742.51090014187,5742
12031,2022,11226.82109156767,1601
12032,2022,10014.21274058727,8464
12033,2022,12695.71734438127,4620
12034,2022,13233.91003210133,10531
12035,2022,18777.173545099,42874
12036,2022,12030.82792750067,3021
12037,2022,12948.36631312367,1685
12038,2022,16977.09594893923,37359
12039,2022,12761.09182964727,7148
12040,2022,9315.191017037134,6421
12041,2022,11863.9257199484,6742
12042,2022,11028.87037221407,4868
12043,2022,10441.02296045107,3890
12044,2022,13055.07922088047,3263
12045,2022,10110.26992211703,6666
12046,2022,13596.4771657562,17229
12047,2022,10043.1935015442,1684
12048,2022,10783.52242110903,12972
12049,2022,12224.0179097913,3583
12050,2022,14740.07188317517,10209
12051,2022,11508.00028625727,8969
12052,2022,12006.49818053087,10594
12053,2022,10692.88185618367,13959
12054,2022,10323.15416711887,5749
12055,2022,13999.86568378403,29987
12056,2022,14418.3459751998,11575
12057,2022,13918.37853977383,19717
12058,2022,14693.4256985456,13901
12059,2022,12660.6329303363,8803
12060,2022,10924.21454300114,3738
12061,2022,16686.44327387727,11055
12062,2022,10135.2555614066,4932
12063,2022,11166.6687825496,2537
12064,2022,12489.31106065647,3422
12065,2022,11551.14396282023,1890
12066,2022,15338.7981139786,21604
12067,2022,15078.8534856521,5860
12068,2022,14701.05881799087,7708
12069,2022,10877.65810150837,2524
12070,2022,11931.99512625623,2029
12071,2022,9586.264545880667,7710
12072,2022,11863.45998260143,3028
12073,2022,12870.11590312347,4972
12074,2022,11947.00555689543,5806
12075,2022,14832.91456079887,12500
12076,2022,8503.300972096667,8938
12077,2022,12290.0165814069,3920
12078,2022,8822.079575384932,4166
12079,2022,9033.7730926406,3958
12080,2022,12666.9211761363,2139
12081,2022,9645.523663193266,2710
13001,2022,14121.53109450027,5869
13002,2022,12038.95345126147,10442
13003,2022,17850.19553670384,16266
13004,2022,13816.2213628468,2854
13005,2022,18571.61718952413,5174
13006,2022,13551.6860621002,5521
13007,2022,15188.75436898637,3560
13008,2022,15391.17773398793,12927
13009,2022,15442.57992586327,5258
13010,2022,21988.78485574543,8714
13011,2022,12520.72360498427,5304
13012,2022,16255.52063426953,8380
13013,2022,18043.1503339712,17766
13014,2022,12873.01752074293,4736
13015,2022,13631.50510917993,5189
13016,2022,14527.3296553176,16085
13017,2022,11850.70629187297,3887
13018,2022,10703.19214511753,6256
13019,2022,14642.914760083,5158
13020,2022,11982.23969005923,847
13021,2022,15614.2469383474,4158
13022,2022,19063.877942096,4834
13023,2022,16896.00894636493,9700
13024,2022,15800.96155084283,4744
13025,2022,11851.45395489057,5541
13026,2022,9499.200032012966,3035
13027,2022,8401.363742277566,6266
13028,2022,17025.77283256537,31513
13029,2022,17527.3925602013,12880
13030,2022,16832.67363065987,26586
13031,2022,12276.04014460507,3744
13032,2022,12189.16093834587,2667
13033,2022,12161.820994371,955
13034,2022,14622.09365850937,2603
13035,2022,13915.82997579847,3272
13036,2022,18567.3690719082,2834
13037,2022,13524.03320146987,6233
13038,2022,14368.97491130343,2533
13039,2022,20176.4333728418,3688
13040,2022,10419.29626133827,2929
13041,2022,16985.76420843787,12703
13042,2022,15198.44506110443,3336
13043,2022,11673.7746988437,1755
13044,2022,14237.22498180683,5145
13045,2022,15521.96706696993,2506
13046,2022,11634.91608261097,10227
13047,2022,11971.52246674577,1430
13048,2022,24024.14691322543,93242
13049,2022,11963.10135904703,4878
13050,2022,18548.26083300253,6308
13051,2022,22271.7291934439,63885
13052,2022,19430.03575302377,10401
13053,2022,10301.2727378953,5001
13054,2022,14514.70908258863,9807
13055,2022,15480.56718398437,5050
13056,2022,16527.89555229733,11135
13057,2022,16263.6403009101,4096
13058,2022,14737.17320044503,5096
13059,2022,14600.58068404286,10216
13060,2022,12029.2430753266,4628
13061,2022,21599.28091909927,16487
13062,2022,10657.0197607544,7490
13063,2022,20249.41444187493,24686
13064,2022,14009.4414726286,3257
13065,2022,18300.7534193572,3088
13066,2022,19120.6682983805,3444
13067,2022,16740.91492751207,14843
13068,2022,11288.84602564,4026
13069,2022,18259.83920553456,47529
13070,2022,19058.16220790367,4917
13071,2022,10801.3919747439,2850
13072,2022,18233.55272595533,3187
13073,2022,11017.41487997733,9550
13074,2022,18759.90615575993,7034
13075,2022,16865.849221898,6014
13076,2022,19516.7276576844,33318
13077,2022,18247.27497048747,45953
13078,2022,7294.914125843033,4361
13079,2022,14405.22490079373,2207
13080,2022,9951.535066266033,6277
13081,2022,18000.54643554913,10594
